Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,25.664467,25.909519,25.504242,25.655043,22.549137,2710500
2010-03-02,25.881245,25.918945,25.268614,25.325165,22.259195,4150800
2010-03-03,25.457115,25.504242,24.995287,25.183788,22.134933,4429200
2010-03-04,25.164938,25.466541,25.042414,25.438265,22.358603,4056700
2010-03-05,25.541941,26.409048,25.494816,26.267672,23.087599,5902300
2010-03-08,26.352497,26.352497,25.984921,26.295948,23.112455,2988700
2010-03-09,26.248821,26.710649,25.909519,26.484449,23.278137,5110000
2010-03-10,26.465599,26.569275,26.098021,26.484449,23.278137,3624900
2010-03-11,26.333647,26.720076,26.154572,26.701225,23.468670,3898400
2010-03-12,26.757776,27.144203,26.654100,27.049953,23.775179,4895900
2010-03-15,27.012253,27.040527,26.616400,26.974552,23.708900,2623100
2010-03-16,26.974552,27.144203,26.786051,27.144203,23.858011,3046600
2010-03-17,27.106503,27.229029,26.870876,27.068804,23.791740,3038400
2010-03-18,27.106503,27.219604,26.842602,27.087652,23.808317,2893800
2010-03-19,27.389256,27.766258,27.276155,27.389256,24.073397,3840800
2010-03-22,27.059378,28.039585,27.059378,27.851084,24.479321,4167100
2010-03-23,27.917059,28.133837,27.737984,28.039585,24.645002,4995000
2010-03-24,27.907635,28.058435,27.719133,27.964184,24.578726,4004700
2010-03-25,28.605089,29.057493,28.369463,28.416588,24.976360,18396900
2010-03-26,28.539114,29.443920,28.463713,29.302546,25.755062,8491900
2010-03-29,29.349670,29.651272,29.245995,29.481621,25.912455,5852500
2010-03-30,29.481621,30.141376,29.425070,29.952875,26.326654,5973900
2010-03-31,29.792648,30.084826,29.641848,29.707823,26.111271,4164200
2010-04-01,29.849199,30.245052,29.811499,30.094252,26.450920,3940600
2010-04-05,30.254477,30.876532,30.254477,30.574930,26.873413,3836500
2010-04-06,30.377003,30.914232,30.329878,30.819981,27.088787,3601900
2010-04-07,30.829407,31.017908,30.282753,30.490103,26.798849,11823500
2010-04-08,30.433554,31.074457,30.207352,30.970783,27.221325,10621700
2010-04-09,31.036758,31.196983,30.706881,31.196983,27.420151,3369400
2010-04-12,31.187559,31.357210,30.838831,31.083883,27.320747,3054400
2010-04-13,31.074457,31.583412,30.933083,31.442036,27.635530,3892000
2010-04-14,31.611687,32.007542,31.470310,31.960415,28.091160,3827700
2010-04-15,31.828465,32.393967,31.800188,32.073517,28.190563,4454900
2010-04-16,31.950989,32.233742,31.573986,31.932140,28.066305,7329900
2010-04-19,31.724789,32.082939,31.291235,31.932140,28.066305,4832900
2010-04-20,32.101791,32.450520,31.960415,32.214893,28.314829,5527500
2010-04-21,32.196041,32.723846,32.111217,32.676720,28.720739,5451000
2010-04-22,32.752121,34.901035,32.412819,34.703110,30.501818,11144100
2010-04-23,34.863335,35.428841,34.505184,35.409992,31.123116,7544400
2010-04-26,35.325165,35.890671,35.221489,35.230915,30.965712,6864800
2010-04-27,35.108387,35.212063,33.930256,33.977379,29.863945,9566400
2010-04-28,34.128181,34.241283,33.279926,33.826580,29.731394,7269100
2010-04-29,34.269558,35.956646,34.213005,35.504242,31.205965,6271700
2010-04-30,35.570217,35.598492,34.571159,34.646561,30.452114,5403700
2010-05-03,34.891613,35.551365,34.721962,35.513668,31.214243,3181700
2010-05-04,35.051838,35.051838,33.930256,34.081055,29.955063,4792900
2010-05-05,33.609802,34.203583,32.940620,33.232800,29.209499,5120000
2010-05-06,33.100849,33.817154,30.207352,32.327991,28.414234,7487600
2010-05-07,32.073517,32.356266,30.603205,31.423185,27.618963,7393300
2010-05-10,32.978321,33.920830,32.950047,33.741753,29.656843,6115300
2010-05-11,33.044296,34.062206,32.648445,33.553253,29.491158,4483600
2010-05-12,33.628651,34.618286,33.553253,34.599434,30.410681,3652800
2010-05-13,34.467484,34.985863,33.836002,33.958530,29.847370,3929300
2010-05-14,33.675777,33.704052,32.271442,32.620171,28.671036,4667900
2010-05-17,32.686146,33.279926,31.979265,32.921772,28.936134,4892600
2010-05-18,33.336475,33.826580,32.205467,32.327991,28.414234,4034100
2010-05-19,32.101791,32.525917,30.772856,31.753063,27.941494,5725800
2010-05-20,30.801130,31.413761,30.339302,30.386429,26.738907,8437000
2010-05-21,29.783224,31.140434,29.481621,31.046183,27.319469,5895000
2010-05-24,30.744581,31.244110,30.386429,30.414703,26.763790,3441000
2010-05-25,29.434496,30.480679,29.104618,30.395853,26.747206,9581100
2010-05-26,30.791706,31.442036,30.311028,30.424128,26.772081,5781200
2010-05-27,31.112158,32.082939,30.951933,32.064091,28.215185,3180800
2010-05-28,32.045238,32.262016,31.168709,31.526861,27.742445,3504300
2010-06-01,31.093307,31.687088,30.914232,30.989632,27.269699,3857200
2010-06-02,31.036758,31.573986,30.584354,31.573986,27.783916,4096800
2010-06-03,31.639963,32.478794,31.602262,32.393967,28.505463,5028000
2010-06-04,31.357210,31.555136,30.028275,30.329878,26.689144,5348500
2010-06-07,30.367579,30.659756,29.236568,29.302546,25.785131,5771400
2010-06-08,29.283695,30.377003,28.689915,30.292177,26.655973,6846200
2010-06-09,30.480679,31.734213,30.424128,30.640905,26.962830,6341800
2010-06-10,30.857681,31.668238,30.848257,31.489161,27.709269,4776600
2010-06-11,31.027332,31.423185,30.716305,31.404335,27.634626,2874000
2010-06-14,31.658812,32.535343,31.583412,32.016964,28.173717,6114000
2010-06-15,32.412819,33.176250,32.243168,33.129124,29.152374,4527000
2010-06-16,32.874645,33.572102,32.874645,33.289349,29.293365,5314300
2010-06-17,33.289349,33.421299,32.733269,33.213947,29.227018,5121900
2010-06-18,33.345901,33.770027,33.072575,33.270500,29.276779,5362900
2010-06-21,33.826580,34.297832,32.940620,33.223373,29.235310,4550800
2010-06-22,33.110271,33.345901,31.969839,32.111217,28.256655,5387300
2010-06-23,32.148914,32.365692,31.366634,31.781338,27.966372,4891500
2010-06-24,31.677662,31.960415,30.669180,30.782280,27.087244,5632400
2010-06-25,30.801130,30.970783,30.028275,30.829407,27.128710,11078500
2010-06-28,31.017908,31.244110,30.329878,30.367579,26.722319,3266500
2010-06-29,29.698399,29.915174,28.680490,28.878416,25.411909,5626900
