Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,38.779999,38.889999,37.750000,38.310001,33.165138,1199300
2010-03-02,38.779999,38.779999,37.680000,37.779999,32.706310,876200
2010-03-03,37.639999,37.950001,36.880001,37.080002,32.100319,654100
2010-03-04,36.889999,38.060001,36.820000,37.990002,32.888103,534700
2010-03-05,38.490002,39.200001,38.189999,39.189999,33.926952,547600
2010-03-08,38.799999,39.820000,38.799999,39.750000,34.411758,666200
2010-03-09,39.419998,40.070000,39.369999,39.860001,34.506973,537800
2010-03-10,40.000000,40.169998,39.689999,39.830002,34.481003,440300
2010-03-11,39.540001,40.040001,39.189999,40.029999,34.654148,309600
2010-03-12,40.220001,40.840000,40.130001,40.200001,34.801327,471400
2010-03-15,40.270000,40.779999,39.849998,40.029999,34.654148,492200
2010-03-16,40.020000,40.299999,39.639999,39.900002,34.541615,544100
2010-03-17,40.110001,40.849998,39.840000,40.709999,35.242832,785200
2010-03-18,40.830002,41.630001,40.610001,41.270000,35.727627,639400
2010-03-19,41.509998,41.660000,40.520000,40.610001,35.156261,407700
2010-03-22,40.220001,40.599998,39.810001,40.209999,34.809975,409800
2010-03-23,40.209999,40.209999,38.810001,38.889999,33.667252,547900
2010-03-24,38.509998,38.549999,36.880001,37.360001,32.342720,3022600
2010-03-25,37.759998,37.880001,36.419998,36.419998,31.528950,2281100
2010-03-26,36.639999,37.369999,36.020000,36.270000,31.399105,1326000
2010-03-29,36.299999,36.770000,36.150002,36.740002,31.805977,324600
2010-03-30,36.950001,37.299999,36.529999,36.730000,31.797333,661100
2010-03-31,36.389999,36.410000,35.470001,35.520000,30.749828,1306000
2010-04-01,35.509998,36.250000,35.500000,36.040001,31.199995,1116500
2010-04-05,36.060001,36.419998,35.840000,35.930000,31.104757,680300
2010-04-06,35.970001,36.680000,35.939999,36.500000,31.598213,583600
2010-04-07,36.570000,36.650002,35.959999,36.020000,31.182673,676300
2010-04-08,36.080002,36.889999,35.639999,36.590000,31.676123,531400
2010-04-09,36.750000,37.160000,36.520000,37.110001,32.126293,509000
2010-04-12,37.009998,37.180000,35.869999,36.009998,31.174009,1091200
2010-04-13,35.759998,36.490002,34.820000,36.250000,31.381788,1086700
2010-04-14,36.580002,37.299999,36.250000,36.400002,31.511644,820300
2010-04-15,36.220001,36.290001,35.750000,35.820000,31.009537,895800
2010-04-16,35.430000,35.790001,34.820000,35.099998,30.386227,896300
2010-04-19,34.820000,35.340000,34.380001,35.160000,30.438173,790800
2010-04-20,35.200001,36.200001,34.840000,36.200001,31.338493,935900
2010-04-21,36.279999,36.599998,35.180000,35.689999,30.896996,1198800
2010-04-22,35.540001,36.540001,35.020000,36.439999,31.546263,793300
2010-04-23,36.419998,37.009998,36.230000,36.980000,32.013744,629300
2010-04-26,37.049999,37.900002,36.880001,37.410000,32.385998,992400
2010-04-27,37.349998,37.590000,36.330002,36.470001,31.572233,575600
2010-04-28,36.939999,36.959999,34.980000,35.020000,30.316971,848900
2010-04-29,35.310001,36.349998,35.000000,35.509998,30.741165,855300
2010-04-30,35.759998,35.880001,34.750000,34.910000,30.221743,544800
2010-05-03,34.700001,34.840000,33.900002,34.400002,29.780237,711100
2010-05-04,33.900002,34.110001,32.509998,32.750000,28.351822,1226000
2010-05-05,32.540001,33.430000,32.310001,32.779999,28.377792,521700
2010-05-06,32.509998,33.119999,29.930000,32.049999,27.745827,1295600
2010-05-07,32.599998,32.599998,30.799999,32.119999,27.806427,1218200
2010-05-10,33.549999,34.119999,33.330002,33.639999,29.122301,541600
2010-05-11,33.400002,33.520000,32.810001,33.080002,28.637508,601200
2010-05-12,33.049999,33.619999,33.049999,33.480000,28.983782,721200
2010-05-13,33.299999,33.990002,33.150002,33.470001,28.975132,482900
2010-05-14,33.400002,33.400002,32.709999,33.250000,28.784676,423000
2010-05-17,32.810001,33.310001,31.610001,32.150002,27.832397,1648300
2010-05-18,32.160000,32.369999,29.850000,31.330000,27.122522,2470500
2010-05-19,30.600000,31.530001,30.320000,31.110001,26.932066,1525000
2010-05-20,26.750000,30.500000,26.160000,30.030001,25.997105,4851600
2010-05-21,29.410000,30.700001,29.379999,30.150000,26.100988,1474200
2010-05-24,29.840000,30.150000,29.450001,29.889999,25.875910,1230500
2010-05-25,28.940001,29.010000,27.879999,28.920000,25.036171,1501000
2010-05-26,28.940001,29.900000,28.850000,29.129999,25.217972,906900
2010-05-27,29.500000,30.870001,29.379999,30.650000,26.533846,1204500
2010-05-28,30.570000,30.850000,30.000000,30.360001,26.282787,959900
2010-06-01,29.700001,30.740000,29.700001,30.309999,26.239498,770300
2010-06-02,30.389999,31.200001,30.389999,31.200001,27.009979,522100
2010-06-03,31.180000,32.270000,31.170000,32.049999,27.745827,999200
2010-06-04,31.670000,32.090000,31.180000,31.260000,27.061922,542500
2010-06-07,31.510000,31.959999,30.290001,30.379999,26.300098,540200
2010-06-08,30.450001,30.580000,30.150000,30.350000,26.274132,991900
2010-06-09,30.330000,30.570000,29.500000,29.680000,25.694111,599200
