Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,35.430000,36.250000,35.389999,36.029999,25.484404,2145700
2010-03-02,36.099998,37.650002,36.099998,37.110001,26.248299,5291700
2010-03-03,37.099998,38.410000,36.930000,38.250000,27.054636,5350300
2010-03-04,38.299999,38.610001,38.139999,38.439999,27.189018,3577500
2010-03-05,38.540001,39.230000,38.389999,39.209999,27.733654,3147700
2010-03-08,39.119999,39.410000,38.840000,38.990002,27.578043,2294500
2010-03-09,38.820000,39.750000,38.700001,39.610001,28.016575,3788200
2010-03-10,39.480000,39.959999,39.139999,39.759998,28.122677,2958500
2010-03-11,39.480000,39.840000,39.169998,39.810001,28.158043,2562100
2010-03-12,40.000000,41.840000,39.830002,41.349998,29.247297,6948100
2010-03-15,41.110001,41.400002,40.650002,41.400002,29.282660,2590800
2010-03-16,41.799999,41.930000,41.480000,41.750000,29.530224,2547800
2010-03-17,41.669998,42.520000,41.310001,42.419998,30.004124,3477200
2010-03-18,42.220001,42.419998,41.830002,42.040001,29.735342,3197400
2010-03-19,42.389999,42.490002,41.689999,42.250000,29.883871,3969200
2010-03-22,42.029999,43.369999,41.810001,43.230000,30.577053,2991800
2010-03-23,43.230000,43.250000,42.650002,43.240002,30.584126,3118200
2010-03-24,43.230000,43.599998,42.970001,43.060001,30.456806,2686700
2010-03-25,43.419998,44.540001,43.049999,43.439999,30.725590,4161900
2010-03-26,43.570000,44.009998,43.279999,43.669998,30.888256,2481800
2010-03-29,43.770000,44.110001,43.540001,43.869999,31.029722,1773900
2010-03-30,43.869999,44.080002,43.470001,43.830002,31.001427,1965100
2010-03-31,43.610001,43.820000,43.139999,43.340000,30.654846,2733400
2010-04-01,43.509998,44.250000,43.349998,43.830002,31.001427,2009200
2010-04-05,44.020000,44.980000,43.830002,44.759998,31.659227,3137700
2010-04-06,44.700001,44.990002,44.480000,44.689999,31.609716,2261700
2010-04-07,44.639999,44.770000,44.099998,44.430000,31.425816,1930300
2010-04-08,44.380001,44.669998,43.759998,44.549999,31.510708,2192300
2010-04-09,44.480000,45.500000,44.480000,45.439999,32.140198,2208500
2010-04-12,45.500000,45.610001,45.130001,45.389999,32.104828,1377600
2010-04-13,45.430000,45.790001,45.150002,45.770000,32.373623,2001600
2010-04-14,45.549999,46.450001,45.439999,46.419998,32.833370,1652600
2010-04-15,46.310001,46.869999,46.200001,46.709999,33.038486,2458000
2010-04-16,46.639999,46.970001,45.660000,45.889999,32.458485,3368000
2010-04-19,45.820000,46.849998,45.669998,46.639999,32.988976,3692400
2010-04-20,47.090000,47.209999,44.810001,45.310001,32.048256,6253300
2010-04-21,45.110001,46.029999,45.009998,45.750000,32.359467,3247700
2010-04-22,45.299999,46.580002,45.009998,46.430000,32.840439,2824200
2010-04-23,46.470001,48.119999,46.470001,48.040001,33.979206,3565800
2010-04-26,48.000000,48.639999,47.759998,48.040001,33.979206,2181600
2010-04-27,47.980000,48.590000,46.340000,46.470001,32.868732,3823800
2010-04-28,46.790001,47.200001,46.240002,46.439999,32.847500,2428300
2010-04-29,46.709999,47.950001,46.389999,47.759998,33.781174,2311200
2010-04-30,47.950001,48.310001,46.509998,46.520000,32.904087,2028300
2010-05-03,46.770000,48.150002,46.639999,48.060001,33.993347,1925200
2010-05-04,47.189999,47.369999,45.000000,46.099998,32.607021,4926700
2010-05-05,45.840000,46.459999,44.939999,45.150002,31.935076,3767900
2010-05-06,44.619999,45.349998,39.750000,42.849998,30.308256,6345600
2010-05-07,42.119999,43.860001,41.450001,41.580002,29.409983,6321200
2010-05-10,44.200001,45.240002,44.009998,44.770000,31.666311,4056700
2010-05-11,44.540001,45.279999,43.950001,44.540001,31.503616,2660300
2010-05-12,44.730000,45.349998,44.040001,45.320000,32.055317,5399700
2010-05-13,45.209999,46.790001,45.029999,45.139999,31.928015,3470200
2010-05-14,44.820000,44.860001,43.139999,44.099998,31.192396,3619600
2010-05-17,44.220001,44.480000,42.439999,43.509998,30.838028,3522700
2010-05-18,43.790001,44.580002,42.759998,42.919998,30.419859,2099100
2010-05-19,42.650002,43.349998,41.299999,42.000000,29.767809,3480800
2010-05-20,40.970001,40.990002,39.130001,39.169998,27.762020,5970600
2010-05-21,38.529999,40.110001,38.279999,40.099998,28.421169,6020100
2010-05-24,39.549999,40.209999,39.000000,39.480000,27.981739,3354100
2010-05-25,38.549999,39.279999,37.759998,39.209999,27.790377,4094800
