CSCO,MNST,TCOM,GILD,SWKS,LRCX,CHTR,MXIM,TTWO,AMD,MELI,ADBE,ALGN,PEP,COST,MDLZ,SNPS,BIIB,SBUX,XEL,BIDU,AMZN,INTC,WDC,SIRI,ATVI,IDXX,BKNG,TXN,ADP,CTSH,ROST,CTXS,FAST,MSFT,ADSK,NTES,NTAP,ASML,KLAC,CTAS,NVDA,INCY,MAR,PCAR,CMCSA,VRSK,LBTYA,ISRG,VRTX,AMAT,EBAY,DLTR,ALXN,REGN,LBTYK,NFLX,UAL,TTWO,VRSN,WLTW,EXC,ADI,ORLY,GOOGL,ULTA,WBA,GOOG,AVGO,AMGN,CSX,CHKP,PAYX,QCOM,MU,SGEN,CDNS,BMRN,FISV,INTU,EA,ANSS,AAL,CSGP,ILMN,AAPL,TMUS,XLNX,CERN,LULU,MCHP,CPRT,NDX100_1990_2020,SP500_1990_2020,DJI30_1990_2020
60.47628059,56.27601323,39.51296006,44.57459162,63.57540791,52.41874878,55.692669,58.06857803,56.97441357,43.77022299,48.42945668,51.58694378,54.86072381,47.36212764,58.65890132,49.68927945,54.26148711,53.80813519,55.50772741,62.09239151,46.87643073,47.88551966,53.86305165,61.54219123,50.26348075,47.0449752,55.93555778,50.08012789,55.94846592,54.84557641,55.12666913,65.88856188,46.39225449,57.14673651,49.3336909,52.8619078,52.62015722,48.6739289,56.44353261,59.05056616,65.80253622,52.19823788,56.99475528,57.31732122,57.03068507,55.9008044,54.6278191,58.84662908,57.15367043,58.64632145,59.88409555,55.53890685,66.86590957,50.81181366,53.27030998,58.58117305,44.25182843,62.94716135,56.97441357,48.40145978,59.70467239,56.26609981,58.36750906,64.09665523,45.40468636,55.27836878,64.86166281,45.85430046,59.26882404,52.01511645,52.53498576,59.64137192,50.7837239,52.37000968,53.49711485,44.4411188,55.55082172,57.47629507,54.33142569,52.00159256,64.06429847,52.63623768,66.07165389,60.88743753,51.37889672,49.71318197,48.53121018,48.84873045,56.8479657,67.3626423,51.45837865,58.4007962,52.73079363,54.18851411,55.80723552
55.38918766,57.9526113,38.59827368,46.30954842,61.13776974,50.40220325,49.2176084,55.04308312,54.82094399,43.40944017,46.86891264,50.800418,57.13931332,45.59276593,55.20112215,46.90869141,51.24205696,52.04916322,51.35986489,59.47416468,45.34379359,45.26186375,51.99629861,58.72672199,45.69416235,45.31723694,54.46439603,44.7758578,52.59097202,54.64384334,53.927875,65.69336857,43.13564396,53.4656359,47.79592945,50.37188382,53.38755282,43.18952262,50.37360216,54.95525235,61.0277164,49.5335444,57.49506919,50.97339196,50.44540319,51.56545018,50.47917718,50.31767262,53.04626691,56.66010698,54.37355571,53.51900999,63.98845232,48.29775079,53.82472367,50.13938218,39.86015844,62.56539484,54.82094399,45.44638768,57.64355191,51.78102943,54.71942635,59.15126147,42.64418359,55.65120208,60.8404963,42.64092327,57.02250953,50.4770832,48.7396275,57.89769111,51.21976645,51.4985626,49.94453662,45.74008182,51.32587735,58.29890799,51.6863981,51.09736972,62.65991197,50.31283979,65.99109987,57.3183692,54.36890644,45.71629032,47.03095558,46.02115296,54.14131447,68.28924921,47.95827937,55.71378484,48.5807068,48.69388581,49.61126319
55.30164777,61.38961182,39.90251725,47.0932859,56.78448566,47.83144713,45.36258591,54.19119385,55.93372182,42.32669573,44.73320449,47.76590126,58.40409223,43.89633215,58.13455034,45.70604746,49.31568281,51.3603595,49.75728367,60.27712016,45.56205518,42.62815186,49.11846124,54.43865897,43.15751728,43.15091058,55.02820492,42.91327695,49.37791008,52.35182249,49.35239906,65.9616358,39.5880181,50.16422167,45.47681866,47.29880727,55.53429228,41.94130225,46.01981171,50.29015972,60.55096643,45.31079139,53.6622402,48.49682903,50.6769479,49.09724087,49.44944996,49.81134162,54.67687005,53.3005955,49.06113557,50.60246697,60.48435286,46.05234674,49.70979844,50.10557721,38.59514581,59.4815874,55.93372182,42.4545272,56.26217066,50.6872678,50.57516564,58.27317548,39.48859077,55.34326933,61.15604717,39.52179185,54.05539686,46.65402752,44.02475188,57.6651318,49.35382877,48.96961935,46.92062206,42.51417874,47.10280823,54.98608675,51.89836554,44.84567415,59.8979571,46.00378701,63.74091729,56.62776428,52.84036121,45.73098737,46.78832089,43.98013054,52.19814019,67.05051418,45.25178931,52.8489993,45.87794842,46.37048257,47.47191598
57.05604806,65.19033259,41.47672002,48.74036517,58.31956171,48.65862838,45.8650785,57.67619265,56.54096588,40.58150871,44.5063768,49.02585825,63.53437369,51.10618658,61.6068559,51.51813813,49.57371324,56.64025739,54.19321814,61.56266789,47.86489705,44.1530977,52.14466283,56.59725971,46.82215657,40.85739426,58.38517285,41.85130303,52.58157239,54.41566799,54.27995525,68.54813885,42.1344922,48.99070161,47.71521973,46.99200958,57.35111094,42.91716686,46.90129522,52.56776831,59.27356414,44.98020875,56.88597362,52.76974539,52.90292395,48.93129529,49.64264221,49.84396685,55.51717501,55.74158739,50.27612106,50.2483671,64.99332546,51.56166513,52.33042712,49.48445176,39.19020737,60.69429064,56.54096588,44.10640336,59.16132769,50.87893253,52.21318265,59.91778405,39.14035506,59.54600755,64.15943611,39.30701758,56.75718225,50.70596178,45.7434232,59.46173732,53.78710119,50.98533186,44.55910471,44.29234249,51.40764882,58.02060589,54.68928713,46.92231258,62.29376828,47.31656188,63.66071241,57.32223894,56.32433111,47.89895487,52.60594879,44.0628958,53.96012872,70.04811473,46.13960665,53.51241046,48.7699231,49.5950359,51.04756749
58.47239312,66.79816081,42.93590238,51.16397694,62.20802444,52.56802848,51.74708347,60.84340928,57.81445771,42.06419463,46.629225,52.70847526,67.223184,54.93835534,63.19217959,53.65291804,52.80496122,55.63540989,56.84129875,63.23043661,50.39484405,45.13630364,54.66981048,59.3842395,53.5363331,42.29277728,59.53579636,43.69370859,55.2883945,59.2585995,57.43520079,70.17523241,42.90897045,52.90383304,52.45039423,50.89136759,57.9474481,46.62927429,50.04020435,54.75108835,61.89325137,50.3735238,55.22109797,58.09139959,55.0036549,52.8851103,52.59478796,50.44393394,58.41638398,58.01851545,54.1342339,55.54069656,65.52090691,49.40187936,51.19143069,50.43781459,41.70086288,62.06658739,57.81445771,48.24901037,61.3090579,51.96061774,54.83969762,62.96439301,39.78917213,61.2703134,65.53074447,39.92747376,61.23747451,50.28418794,47.7791477,64.22283222,57.15841536,52.75680155,49.87983772,43.47747701,52.88535915,58.37097852,58.46793086,49.63668181,65.59575527,52.49410606,64.65742125,59.64741948,57.26315437,53.26539242,55.4192758,47.81259541,57.38017988,71.85634154,50.87791792,55.6822137,53.02381285,54.04296015,55.77764712
60.27934051,65.59812444,43.52294161,51.08425985,61.98509379,52.8452534,50.85480317,62.82670529,55.07813195,43.04435317,45.28041638,50.4583354,69.18880195,53.29922965,58.66528663,51.7955663,53.13948023,53.05928703,50.60386515,60.32912851,49.22041237,43.75729156,54.9269043,61.48574164,53.00376799,40.4232277,58.25178185,40.59844944,55.38028289,57.24906302,58.02000695,65.3814349,42.07670481,50.82824723,51.04385676,49.48582767,58.47744463,47.06352393,48.204724,55.20409934,59.96158206,50.92650175,53.67466802,57.6135884,48.67419098,52.56933341,50.17958151,49.86119808,54.14225824,56.42186541,54.23220354,52.49617222,60.00778611,49.65016684,53.03433242,49.68338102,40.46995803,59.54773747,55.07813195,49.68023578,58.80009595,51.70822374,54.70876989,56.03028127,38.3034759,60.19896717,60.77071546,38.2603531,62.14901831,48.8535772,47.53992846,64.33452027,54.77982145,52.53015653,49.44212727,41.2015644,52.36512763,57.89490778,57.74149315,45.78935504,62.91853595,50.14135087,60.33789817,56.86394813,55.94066637,53.40926083,56.22226701,47.67190353,55.41702158,70.49220744,50.47844303,54.47372222,51.52541568,51.78249366,52.98496121
61.87293183,57.4964045,42.68179229,50.18517416,58.78856177,48.14900855,52.50507642,61.37636355,55.07813195,43.04435317,43.37604869,49.01526543,70.14728088,52.32044596,57.15252422,50.09846252,50.84909992,54.57230884,51.5010467,58.35926464,46.31538723,41.69652432,54.20013092,58.26535263,54.86165583,40.2130738,59.62444997,39.47648812,53.55794036,55.93038637,58.09446393,66.24507346,42.19270427,49.57537871,49.03736179,47.00271815,58.98837418,44.16380688,50.15344875,50.65689062,58.44579978,49.1559528,55.07540227,55.46383834,50.11099922,52.13991898,49.61395722,49.89642957,55.43261108,53.07376965,50.96648556,50.90479048,59.91296959,49.16692914,53.56747699,50.3419974,38.11521997,60.29150337,55.07813195,47.97931289,56.41191797,52.26792054,52.9112768,53.52597549,37.44819294,57.5127419,60.81766472,37.36295505,59.86603447,49.23093403,45.87682317,64.56338113,54.44503446,50.41440251,44.09532491,44.91168785,50.73043412,60.24296756,57.3902417,43.48337237,61.04777984,48.06153462,54.7122875,56.613748,52.99476596,49.76369122,56.29308758,45.49119979,54.93838984,74.92432473,48.85799971,51.16284161,49.2393436,49.72762167,51.47550489
62.17486914,58.69118508,43.09139101,46.77852968,59.42802021,46.81518849,52.98540675,58.87025733,54.2399865,44.55022106,43.09619549,47.97053176,68.21258509,52.14711104,54.55143076,48.960498,50.32725715,55.88287463,52.79129689,59.59606162,45.71626983,43.36116414,53.74041983,56.74430281,53.22906026,38.65387038,64.13263577,39.27404557,52.33313938,55.38321575,58.09446393,63.71331078,37.75430281,50.41823947,48.23940129,47.14270233,60.00653269,42.26433939,50.15344875,48.47254883,60.30985158,48.94470813,58.05096678,54.21339755,48.99947894,54.29625611,51.76989931,50.79043374,54.125353,54.70637615,49.22189021,50.64627435,55.58220384,47.00846864,51.75220702,51.40219777,39.8325162,60.91948777,54.2399865,48.10829165,56.63962805,51.73619483,50.95875989,50.55929046,39.26508572,55.97439745,59.73225482,38.85077101,59.11722005,48.41636685,44.6886091,59.76302991,54.44503446,48.97405168,42.03333487,44.09488071,51.30973261,60.68843743,58.05022313,42.75281048,58.48913836,49.87933181,56.13413525,54.96817288,50.08623886,50.98019941,57.01245003,43.46693209,56.11470494,75.37838964,48.66018683,50.45071843,49.04339957,49.09078817,51.05217548
60.39387278,63.02057322,42.3094596,48.62741331,57.23708393,45.92038077,47.33927233,58.27000686,54.83250957,43.36416736,41.74939976,46.80228984,62.73913662,52.88532114,51.53151449,48.57997099,49.43502647,54.55704262,51.78912013,60.92103523,44.43485156,42.80308044,53.04230017,55.76698789,51.63925943,41.54560242,67.64826477,39.06776271,52.03479263,54.60302542,58.77255594,58.40480141,35.4594384,46.91537025,46.9228882,44.86259836,59.98859119,40.84354001,49.65365439,47.6228361,60.43501767,49.54282629,57.50373224,52.1052387,47.58236135,50.69886556,49.57549254,50.71553976,57.78972869,54.51787362,47.6372821,46.78356301,53.80953036,45.12694699,51.18037855,50.25399483,39.9888127,56.46993135,54.83250957,46.49829091,54.34848363,53.4111801,50.833585,50.26397397,40.81461686,55.88432268,59.06313544,40.73236232,59.84288781,48.43271212,45.09722285,60.24320193,54.74103946,47.22919371,40.16160931,44.66499521,49.83755328,62.13291415,56.49327856,42.60831179,59.7964819,50.10831931,54.01608117,54.20564182,48.60990999,50.43316833,57.37532633,41.97107251,54.31190979,75.70757525,52.1359633,49.22646639,47.97676516,47.67071515,48.23312815
55.71608811,60.90964569,41.6321639,47.09190475,56.76568556,47.20982601,49.43721867,55.01978364,54.15545887,39.38676532,40.27672911,47.46406998,58.38072815,52.88532114,51.53151449,48.53122586,46.90496024,51.73435004,49.95787955,62.2032559,44.04436055,40.48557964,52.2926336,49.84185047,52.13221693,39.56419429,64.53102364,35.69224586,50.83527072,54.47074579,56.69204934,55.22439135,34.57373688,43.80037188,45.38537641,43.23439542,62.13999794,39.47090682,47.98061072,50.32534899,60.62770588,48.51394688,53.73110387,50.97149769,44.5455425,51.28804837,48.3315433,48.28505358,54.20022879,52.31408716,49.32492758,43.62337642,51.23377337,43.9193929,49.32100668,48.71553569,39.8745136,56.07496038,54.15545887,44.50117025,53.71449104,54.79662807,48.43328625,47.77531145,40.31990598,53.49465899,58.53561428,41.1001411,57.16052405,45.99037976,46.96177393,57.76604466,54.37553713,45.35689856,38.47883038,42.15157753,45.61639061,60.65529817,56.23927059,40.56931023,58.75951958,50.39485566,54.01608117,50.17355069,47.79422746,46.75111732,55.48567158,40.9684435,52.50765232,73.06240653,50.27387523,47.22960717,45.17197312,45.51641264,46.71185919
